player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Krystian Williams,174801,CB,VA TECH,1,0,0,,0,0,337,0,0,,60.6,67.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,3,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,
Caleb Woodson,174805,LB,VA TECH,12,23,0,87.5,0,1,337,0,0,45.6,59.0,84.5,57.8,70.3,82.6,4,4,0,1,26,8.5,6,1,1,101.6,21,3,0,466,2,256,546,16,0,0,16,0,0,530,48,242,61,25,42,3,24,11,1,221,174,10.5
Jaxon Mull,174965,CB,WAKE,12,4,0,74.3,0,0,339,0,0,59.3,58.8,84.6,,53.7,72.0,0,0,0,0,75,10.8,4,1,1,145.3,26,0,0,13,423,256,448,1,0,0,1,0,1,447,0,192,9,4,29,0,35,0,4,363,95,14.0
Palaie Faoa,175336,LB,BOSTON COL,2,0,0,100.0,0,0,121,0,0,41.5,52.2,71.7,60.0,71.6,73.1,0,0,0,0,24,0.0,0,0,0,118.8,1,0,0,11,0,4,13,2,0,0,2,0,0,11,1,8,0,1,1,0,1,0,0,24,25,24.0
Max Tucker,175345,CB,BOSTON COL,11,5,0,56.3,0,0,121,1,0,67.2,66.2,42.8,44.1,65.9,66.1,0,1,0,2,38,14.3,5,2,2,71.7,27,0,0,32,509,345,578,13,0,0,13,0,2,565,5,228,22,3,25,1,48,1,1,382,127,14.1
Chad Alexander,175356,HB,GA TECH,1,0,0,,0,0,176,0,0,,60.0,63.9,,60.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Will Kiker,175365,CB,GA TECH,1,0,0,,0,0,176,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Bailey Stockton,175368,WR,GA TECH,1,0,0,,0,0,176,0,0,51.7,46.5,60.0,,,21.3,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Jesse Anderson,175406,S,PITTSBURGH,6,2,0,100.0,0,0,268,0,0,65.2,69.1,75.5,,72.0,71.5,0,0,0,0,12,14.3,1,0,0,116.7,1,0,0,37,0,20,43,0,0,0,0,0,3,43,0,23,2,2,4,0,1,0,0,12,1,12.0
Rasheem Biles,175408,LB,PITTSBURGH,11,17,4,68.0,0,1,268,1,0,78.7,81.2,54.6,89.4,71.3,75.8,3,5,1,1,25,12.2,9,3,1,82.8,17,6,0,293,0,190,477,114,0,0,114,0,0,363,82,205,68,39,48,7,25,14,1,164,150,9.6
Cruce Brookins,175409,S,PITTSBURGH,11,6,0,76.9,0,0,268,0,0,50.0,55.8,84.5,67.9,71.1,84.2,1,2,0,1,80,3.8,1,1,2,125.8,10,0,0,94,1,169,256,22,0,0,22,0,28,234,11,76,109,4,19,0,13,3,2,168,86,16.8
Maverick Gracio,175415,ED,PITTSBURGH,2,0,0,,0,0,268,0,0,,61.2,73.0,57.8,61.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,11,11,0,0,10,1,0,0,3,8,0,0,0,0,0,0,0,0,0,
Shadarian Harrison,175416,CB,PITTSBURGH,1,0,0,0.0,0,0,268,0,0,70.4,69.9,69.0,58.3,,,0,0,0,0,,,0,0,0,39.6,0,0,0,0,6,5,6,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,
Kenny Johnson,175419,WR,PITTSBURGH,1,0,0,,0,0,268,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Zach Zollers,175425,ED,PITTSBURGH,2,0,0,,0,0,268,0,0,60.0,57.6,75.1,54.7,61.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,19,19,0,0,19,0,0,0,10,8,0,0,0,0,0,0,0,0,0,
Darius Taylor,175823,LB,VA TECH,1,0,0,,0,0,337,0,0,60.0,60.1,63.8,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Brody Jones,176004,CB,VA TECH,1,1,0,,0,0,337,0,0,63.1,67.1,71.3,,66.7,76.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,6,8,0,0,0,0,0,0,8,0,2,6,1,1,0,0,0,0,0,0,
Kelvon McBride,176007,LB,NC STATE,9,1,0,100.0,0,0,248,1,0,63.2,72.0,78.5,64.3,75.5,84.7,0,3,0,0,19,0.0,0,0,0,113.2,6,1,0,56,0,21,80,19,0,0,19,0,0,61,28,31,5,7,10,2,6,4,0,67,14,11.2
Rashard Perry,176021,DI,SYRACUSE,11,4,0,,0,0,304,0,0,61.6,68.1,56.4,64.7,68.6,62.9,0,11,0,0,,11.8,2,0,1,0.0,0,2,0,0,0,1,291,291,152,134,2,3,0,0,173,117,0,10,11,1,0,13,0,0,0,
Berry Buxton III,176038,S,SYRACUSE,10,4,0,85.7,0,0,304,0,0,45.5,48.8,84.6,60.0,56.9,68.6,0,0,0,0,40,13.8,4,1,1,106.5,12,0,0,121,4,218,359,8,0,0,8,0,162,351,1,140,64,7,21,0,14,0,0,134,57,11.2
Zyian Moultrie-Goddard,176040,LB,SYRACUSE,3,2,0,66.7,0,0,304,0,0,71.9,80.7,73.4,60.0,74.7,77.5,0,0,0,0,6,0.0,0,0,0,71.5,2,0,0,16,0,13,18,2,0,0,2,0,0,16,1,4,0,1,1,0,3,0,0,10,1,5.0
Ihsim Smith-Marsette,176046,S,TEMPLE,7,0,0,80.0,0,0,306,0,0,49.5,50.1,76.1,58.7,55.0,46.4,0,0,0,0,18,25.0,1,1,0,138.8,4,0,0,18,0,15,46,3,0,0,3,0,1,43,2,29,24,3,3,0,5,0,2,39,14,9.8
Chris Marable Jr.,176052,DI,WAKE,5,1,0,,0,0,339,0,0,,56.5,76.2,56.4,57.0,72.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,42,42,11,28,0,3,0,0,15,27,0,1,1,0,0,0,0,0,0,
Ka'Shawn Thomas,176053,ED,WAKE,1,0,0,,0,0,339,0,0,,53.4,66.3,,58.1,21.8,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
William Tackie Jr.,176055,CB,WAKE,2,0,0,100.0,0,0,339,0,0,60.8,61.4,72.6,,60.8,76.6,0,0,0,0,17,0.0,0,0,0,108.3,3,0,0,0,18,10,18,0,0,0,0,0,0,18,0,8,0,0,2,0,3,0,0,30,6,10.0
Kerrington Lee,176058,ED,WAKE,10,0,0,66.7,1,0,339,0,0,27.9,43.2,22.6,57.7,53.3,77.8,0,1,0,0,45,0.0,0,0,1,109.7,2,0,0,1,0,7,115,110,0,7,91,12,0,5,43,65,4,4,4,1,3,1,0,47,43,23.5
Tyler Walton,176059,ED,WAKE,2,0,1,,0,0,339,0,0,,65.3,76.2,56.1,70.5,48.8,0,1,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,34,34,0,2,25,7,0,0,19,15,0,3,3,1,0,1,0,0,0,
Aiden Hall,176060,LB,WAKE,9,4,0,62.5,0,0,339,0,0,59.8,52.9,78.5,65.5,43.6,47.8,0,0,0,0,21,21.4,3,1,0,77.1,5,1,0,141,0,83,159,4,0,0,4,0,0,155,3,73,13,3,7,0,8,1,0,44,27,8.8
Davaughn Patterson,176061,S,WAKE,12,22,0,81.6,0,2,339,0,0,73.0,69.1,61.6,55.7,67.2,65.4,0,4,0,1,31,13.2,10,3,1,105.4,40,0,0,202,2,378,710,117,0,0,117,0,39,593,56,276,350,14,44,3,49,4,3,316,217,7.9
Rushaun Tongue,176062,S,WAKE,12,4,0,37.5,0,1,339,0,0,67.0,72.8,84.3,,87.5,81.6,0,0,0,1,27,6.7,2,0,0,22.9,3,0,0,81,1,180,286,0,0,0,0,0,153,286,0,106,50,5,24,0,8,0,0,56,12,18.7
Travon West,176063,CB,WAKE,1,0,0,100.0,0,0,339,0,0,53.0,53.9,73.1,,61.0,74.2,0,0,0,0,11,0.0,0,0,0,110.4,2,0,0,2,19,12,21,0,0,0,0,0,0,21,0,9,0,0,1,0,2,0,0,21,-3,10.5
Micah Mays Jr.,176078,WR,WAKE,1,0,0,,0,0,339,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Kyron Jones,176331,S,GEORGIA,3,0,0,,0,0,173,0,0,64.2,72.9,74.0,,77.4,81.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,1,9,23,1,0,0,1,0,6,22,0,14,10,2,4,0,0,0,0,0,0,
Nahmier Robinson,176579,CB,COLORADO,1,0,0,0.0,0,0,143,0,0,60.0,64.4,63.5,,,,0,0,0,0,,,0,0,0,39.6,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,
Daniel Harris,182310,CB,GEORGIA,10,2,0,63.0,0,0,173,0,0,59.7,61.0,83.5,58.3,65.7,65.3,0,0,0,0,75,15.0,3,2,0,113.0,17,0,0,17,347,202,376,0,0,0,0,0,0,376,1,173,12,3,15,0,27,0,1,299,110,17.6
Chris Peal,182912,S,GEORGIA,2,0,0,,0,0,173,0,0,63.1,65.3,71.1,,64.1,75.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,9,0,7,18,0,0,0,0,0,9,18,0,11,0,0,1,0,0,0,0,0,0,
Sammy Brown,183192,LB,CLEMSON,12,13,0,77.8,0,0,140,0,0,63.5,60.4,0.0,71.3,56.7,64.9,0,5,0,0,40,13.2,9,1,2,131.5,14,5,0,330,0,152,373,20,0,0,20,0,1,353,33,188,22,28,46,7,18,10,1,200,127,14.3
Noah Dixon,183195,CB,CLEMSON,1,0,0,,0,0,140,0,0,62.5,63.3,70.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,4,6,0,0,0,0,0,0,6,0,2,6,0,0,0,0,0,0,0,0,
Tavoy Feagin,183197,S,CLEMSON,2,0,0,,0,0,140,0,0,47.2,36.6,0.0,,60.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,3,6,6,9,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,
Corian Gipson,183198,CB,CLEMSON,2,0,0,100.0,0,0,140,0,0,55.3,56.2,71.3,,60.8,,0,0,0,0,17,,0,0,0,158.3,1,0,0,2,11,8,14,0,0,0,0,0,0,14,0,6,1,0,0,0,1,0,1,17,10,17.0
Ricardo Jones,183200,S,CLEMSON,9,2,0,100.0,0,0,140,0,0,67.2,70.2,79.9,71.9,70.3,67.6,0,0,0,1,20,15.8,3,0,0,79.2,3,1,0,63,2,87,147,0,0,0,0,0,62,147,1,59,20,5,14,0,3,1,0,43,37,14.3
Champ Thompson,183203,DI,CLEMSON,3,1,0,,0,0,140,0,0,,64.1,75.3,54.3,67.9,73.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,41,41,1,35,0,5,0,0,18,23,0,2,2,0,0,0,0,0,0,
Joe Wilkinson,183207,S,CLEMSON,1,1,0,,0,0,140,0,0,63.8,63.9,67.3,,,75.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,3,3,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,
Jordan Boyd,183211,ED,GA TECH,4,0,0,,0,0,176,0,0,,65.9,75.9,54.5,70.0,75.2,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,31,30,0,0,26,4,0,1,13,18,0,2,3,0,0,1,0,0,0,
Tah'j Butler,183212,LB,GA TECH,12,7,0,91.7,0,0,176,0,0,52.6,60.4,82.3,71.2,64.9,50.9,2,5,0,0,28,20.0,6,0,0,97.6,11,0,0,147,0,76,169,11,0,0,11,0,0,158,6,87,10,11,17,4,12,7,0,89,62,8.1
Francis Brewu,183267,DI,PITTSBURGH,11,5,0,,0,0,268,0,0,,75.6,82.1,66.2,77.1,53.9,3,3,0,0,,16.7,2,0,0,0.0,0,1,0,1,0,0,214,212,8,201,1,2,0,2,109,105,0,6,5,1,0,7,0,0,0,
Jeremiah Marcelin,183272,LB,PITTSBURGH,5,0,0,100.0,0,0,268,0,0,72.6,52.3,0.0,59.4,42.3,73.6,0,1,0,0,20,0.0,0,1,1,118.8,1,0,0,34,0,12,35,1,0,0,1,0,0,34,8,15,0,1,1,0,1,1,0,20,13,20.0
Caden Brown,183371,ED,SYRACUSE,3,0,0,,0,0,304,0,0,,61.8,76.0,60.9,60.0,,0,2,0,0,,,0,0,0,0.0,0,0,0,1,0,0,15,14,0,0,14,0,0,1,14,1,0,0,0,0,0,2,0,0,0,
KingJoseph Edwards,183372,ED,SYRACUSE,5,0,0,,0,0,304,0,0,,75.6,78.6,71.8,60.3,77.0,0,2,0,0,,,0,0,0,0.0,0,3,0,0,0,0,30,30,0,0,30,0,0,0,27,3,0,3,0,0,0,5,0,0,0,
Jahide Lesaine Jr.,183375,ED,SYRACUSE,2,0,0,,0,0,304,0,0,,66.4,72.1,66.1,61.1,29.9,0,0,0,0,,100.0,1,0,0,0.0,0,1,0,0,0,0,9,9,0,0,8,1,0,0,6,3,0,0,0,0,0,1,0,0,0,
Braheem Long Jr.,183376,S,SYRACUSE,6,1,0,75.0,0,0,304,0,0,40.0,37.6,76.7,,40.5,37.2,0,0,0,0,25,33.3,2,0,0,116.7,3,0,0,4,4,29,43,2,0,0,2,0,27,41,0,14,6,0,3,0,4,0,0,69,11,23.0
Maraad Watson,183380,DI,SYRACUSE,12,7,3,,1,0,304,0,0,59.5,66.4,3.6,58.2,78.5,57.2,0,9,0,0,,13.8,4,0,5,0.0,0,1,0,0,0,2,447,447,87,260,69,31,0,0,264,181,0,15,18,0,0,10,0,0,0,
Camden Hardy,183386,ED,WAKE,4,0,0,100.0,0,0,339,0,0,64.5,59.7,79.9,56.1,57.3,74.8,0,0,0,0,8,0.0,0,0,0,100.0,1,0,0,0,0,4,33,27,0,0,27,0,0,6,11,18,6,0,1,0,1,0,0,8,2,8.0
Darius Jones,183391,LB,WAKE,1,0,0,,0,0,339,0,0,63.5,57.0,68.8,,52.2,35.8,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,8,0,3,10,0,0,0,0,0,0,10,0,7,2,0,2,0,0,0,0,0,0,
Myles Turpin,183398,S,WAKE,3,0,0,0.0,0,0,339,0,0,61.8,56.7,72.4,,52.8,28.4,0,0,0,0,,50.0,1,0,0,39.6,0,0,0,8,0,4,18,0,0,0,0,0,6,18,0,14,3,0,1,0,1,0,0,0,0,
Brandon Davis-Swain,183883,DI,COLORADO,2,1,0,,0,0,143,0,0,,64.0,72.2,57.1,65.3,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,11,11,1,10,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,
KJ Bolden,184549,S,GEORGIA,12,10,0,56.0,0,1,173,0,0,78.0,77.9,85.3,65.1,74.9,75.2,0,1,0,1,13,10.5,6,1,1,59.8,14,1,0,139,2,303,482,0,0,0,0,0,268,482,5,174,73,15,41,0,25,2,1,86,49,6.1
Chris Cole,184554,LB,GEORGIA,9,2,0,69.2,0,1,173,2,1,69.3,70.4,80.0,53.4,77.4,67.5,0,3,0,0,20,12.5,2,1,1,81.9,9,0,0,64,5,66,107,18,0,0,18,0,0,89,18,23,20,6,12,2,13,3,0,69,19,7.7
Quintavius Johnson,184564,ED,GEORGIA,3,0,0,,0,0,173,0,0,60.0,72.2,77.7,60.7,74.4,75.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,24,23,0,0,22,1,0,1,11,12,1,2,2,0,0,0,0,0,0,
Joseph Jonah-Ajonye,184565,ED,GEORGIA,4,0,0,,0,0,173,0,0,60.0,58.6,76.9,59.8,56.7,73.7,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,49,49,0,5,20,24,0,0,21,28,0,1,2,0,0,1,0,0,0,
Demello Jones,184566,CB,GEORGIA,2,1,0,0.0,0,0,173,0,0,56.2,52.2,73.0,,48.9,28.3,0,0,0,0,,50.0,1,0,0,39.6,0,0,0,1,19,9,21,0,0,0,0,0,0,21,0,12,1,0,0,0,1,0,0,0,0,
Nnamdi Ogboko,184569,DI,GEORGIA,3,0,0,,0,0,173,0,0,,62.6,74.6,58.1,63.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,18,18,9,9,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,
Ellis Robinson IV,184574,CB,GEORGIA,4,1,0,33.3,0,0,173,0,0,66.5,67.5,76.4,60.0,65.9,79.3,0,0,0,0,7,0.0,0,0,1,42.4,1,0,0,1,48,29,51,0,0,0,0,0,0,51,1,21,2,1,3,0,3,0,0,7,0,7.0
Jordan Thomas,184577,DI,GEORGIA,3,1,0,,0,0,173,0,0,,67.8,74.1,61.4,68.4,75.1,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,30,30,0,25,0,5,0,0,16,14,0,3,3,0,0,2,0,0,0,
Justin Williams,184584,LB,GEORGIA,4,2,0,0.0,0,0,173,0,0,57.3,70.2,70.6,55.8,82.5,79.8,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,20,0,10,24,0,0,0,0,0,0,24,4,10,4,2,2,1,1,0,0,0,0,
Sekou Kromah,184788,DI,TEMPLE,12,4,0,,0,0,306,0,0,60.0,59.9,53.5,63.7,58.4,40.3,2,11,0,0,,23.8,5,0,1,0.0,0,1,0,1,0,0,288,287,28,194,13,52,0,1,155,133,0,9,12,1,0,14,0,0,0,
Eric Stuart,184793,LB,TEMPLE,3,4,0,50.0,0,0,306,0,0,69.7,61.3,77.3,66.9,51.6,53.2,0,0,0,0,5,23.1,3,0,0,56.3,1,0,0,97,0,43,117,6,0,0,6,0,0,111,3,71,14,5,6,0,2,0,0,5,1,5.0
Katin Surprenant,184794,LB,TEMPLE,7,0,0,50.0,0,0,306,0,0,52.7,40.3,73.9,,36.2,22.9,0,0,0,0,12,70.0,7,0,0,57.3,2,0,0,41,0,17,46,0,0,0,0,0,0,46,0,29,5,3,3,0,4,0,0,13,8,6.5
Joshua Clarke,184928,CB,VA TECH,1,0,0,,0,0,337,0,0,,60.1,66.6,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,3,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,
Emmett Laws,184935,DI,VA TECH,1,0,0,,0,0,337,0,0,,59.9,63.6,59.4,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
Quentin Reddish,184938,S,VA TECH,10,2,0,66.7,0,0,337,0,0,63.2,65.5,1.0,,74.7,75.5,0,0,0,0,29,10.5,2,0,1,140.0,6,0,0,90,2,142,242,1,0,0,1,0,89,241,0,100,60,3,15,0,9,0,1,98,23,16.3
Gabe Williams,184941,CB,VA TECH,1,1,0,,0,0,337,0,0,,70.6,66.2,,68.2,75.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,
Hevin Brown-Shuler,189362,DI,CLEMSON,4,2,0,,0,0,140,0,0,,54.2,76.0,53.9,55.6,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,49,49,1,45,1,2,0,0,19,30,0,0,0,0,0,0,0,0,0,
Ashton Hampton,189365,CB,CLEMSON,12,4,0,56.3,0,0,140,0,0,78.5,74.6,83.3,47.3,55.5,57.5,0,1,1,2,30,19.4,7,4,2,49.1,18,0,0,37,351,238,403,4,0,0,4,0,1,399,3,162,10,8,25,1,32,1,0,201,58,11.2
Aidan Hydrick,189366,DI,CLEMSON,1,0,0,,0,0,140,0,0,,60.0,64.4,59.8,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Darien Mayo,189368,ED,CLEMSON,3,1,0,,0,0,140,0,0,,63.9,77.3,65.0,61.0,33.8,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,35,35,0,0,34,1,0,0,13,22,0,2,2,0,0,0,0,0,0,
Drew Woodaz,189373,LB,CLEMSON,2,1,0,0.0,0,0,140,0,0,60.6,43.8,74.2,58.4,42.3,26.4,0,1,0,0,,50.0,1,0,0,39.6,0,0,0,7,0,2,14,3,0,0,3,0,0,11,1,11,4,0,0,0,1,1,0,0,0,
Derrick Brown Jr.,189375,LB,DUKE,1,0,0,100.0,0,0,154,0,0,49.8,47.7,67.0,58.9,60.0,20.7,0,1,0,0,18,50.0,1,0,0,118.8,2,0,0,3,0,3,6,0,0,0,0,0,0,6,2,1,3,0,1,0,2,1,0,26,19,13.0
Landan Callahan,189376,CB,DUKE,1,0,0,,0,0,154,0,0,54.9,53.5,68.4,59.8,,28.3,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,5,4,5,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,
Kyren Condoll,189378,CB,DUKE,1,0,0,,0,0,154,0,0,,60.0,64.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Vontae Floyd,189382,CB,DUKE,5,0,0,,0,0,154,0,0,64.6,64.0,74.3,59.8,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,9,7,10,0,0,0,0,0,0,10,1,2,0,0,0,0,0,0,0,0,0,
Tyshon Reed,189390,ED,DUKE,9,0,0,,0,0,154,0,0,62.2,63.6,77.4,65.2,59.0,73.7,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,5,43,42,0,1,41,0,0,1,17,21,0,2,1,1,0,2,0,0,0,
Kobe Smith,189395,ED,DUKE,2,0,0,,0,0,154,0,0,60.0,72.8,71.1,71.8,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,7,7,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,
Preston Watson,189399,DI,DUKE,12,1,0,,0,0,154,1,0,60.5,60.2,39.5,64.7,57.4,53.4,1,4,0,0,,11.1,1,0,1,0.0,0,1,0,0,0,0,189,189,3,181,0,5,0,0,99,90,0,8,7,1,0,6,0,0,0,
Amontrae Bradford,189411,ED,GA TECH,1,1,0,,0,0,176,0,0,,61.2,72.6,57.7,61.7,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,7,7,0,0,7,0,0,0,4,3,0,0,0,0,0,0,0,0,0,
Nehemiah Chandler,189413,CB,GA TECH,1,0,0,100.0,0,0,176,0,0,55.3,56.3,72.2,,61.2,,0,0,0,0,2,,0,0,0,118.8,1,0,0,0,15,7,15,0,0,0,0,0,0,15,0,8,0,0,0,0,1,0,1,2,0,2.0
Christian Pritchett,189426,S,GA TECH,2,0,0,,0,0,176,0,0,62.2,64.6,70.9,57.2,65.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,5,0,5,16,1,0,0,1,0,8,15,3,8,1,0,0,0,0,0,0,0,0,
Davin Brewton,189530,LB,PITTSBURGH,1,1,0,,0,0,268,0,0,,75.7,67.9,,73.2,75.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,6,0,0,6,0,0,0,0,0,0,6,0,6,0,1,1,0,0,0,0,0,0,
Cameron Lindsey,189537,LB,PITTSBURGH,2,0,0,,0,0,268,0,0,63.4,64.1,71.9,,60.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,7,13,0,0,0,0,0,0,13,0,6,12,0,0,0,0,0,0,0,0,
Jahsear Whittington,189542,DI,PITTSBURGH,4,0,0,,0,0,268,0,0,60.0,63.6,76.2,63.9,61.5,73.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,0,43,41,2,38,0,1,0,2,10,33,0,2,3,1,0,0,0,0,0,
Charlie Comella,190184,CB,BOSTON COL,1,0,0,,0,0,121,0,0,60.0,61.2,71.1,,60.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,6,0,0,0,0,0,0,6,0,5,6,0,0,0,0,0,0,0,0,
Ashton McShane,190196,CB,BOSTON COL,10,6,0,60.6,0,0,121,0,0,64.4,65.2,83.7,58.6,66.5,65.9,0,0,0,0,44,13.0,3,5,1,107.1,20,0,0,18,313,205,354,7,0,0,7,0,1,347,2,147,15,4,14,1,33,0,2,272,66,13.6
Omar Thornton,190201,S,BOSTON COL,7,4,0,50.0,0,0,121,0,0,66.6,62.5,80.7,74.0,48.5,32.8,1,0,0,0,19,21.2,7,0,0,65.0,5,1,0,103,1,139,233,3,0,0,3,0,77,230,5,89,49,8,22,3,10,2,0,51,28,10.2
Syair Torrence,190202,CB,BOSTON COL,1,0,0,100.0,0,0,121,0,0,52.0,49.7,71.1,,60.2,,0,0,0,0,8,,0,0,0,100.0,1,0,0,0,0,2,6,0,0,0,0,0,0,6,0,4,6,0,0,0,1,0,0,8,9,8.0
Tyree Alualu,190653,LB,TEMPLE,5,3,0,50.0,0,1,306,0,0,58.8,56.2,76.3,53.9,55.8,53.5,0,0,0,0,7,21.4,3,0,0,58.3,1,0,0,93,0,41,111,2,0,0,2,0,0,109,5,65,16,5,8,0,2,0,0,7,9,7.0
Sultan Badmus,190654,ED,TEMPLE,12,3,0,,0,0,306,0,0,65.1,59.4,56.9,59.1,56.8,53.4,1,6,0,0,,16.7,2,0,1,0.0,0,1,0,0,0,0,287,287,0,8,231,48,0,0,128,159,0,7,7,1,0,8,0,0,0,
Wesley Brown,190656,LB,TEMPLE,1,1,0,,0,0,306,0,0,60.0,90.6,70.9,,90.6,78.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,10,0,1,10,0,0,0,0,0,0,10,0,9,0,3,3,0,0,0,0,0,0,
Denzel Chavis,190657,CB,TEMPLE,2,0,0,,0,0,306,0,0,61.8,63.1,69.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,9,4,12,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,
Adrian Laing,190664,CB,TEMPLE,3,0,0,100.0,0,0,306,0,0,51.1,54.3,74.2,,63.7,,0,0,0,0,27,,0,0,0,118.8,1,0,0,3,26,7,30,0,0,0,0,0,0,30,0,23,1,0,0,0,1,0,0,27,0,27.0
Khalil Poteat,190669,ED,TEMPLE,6,3,1,,0,0,306,0,0,,62.6,81.5,59.1,63.6,55.0,0,2,0,0,,20.0,1,0,0,0.0,0,0,0,0,0,0,134,134,0,3,103,28,0,0,69,65,0,1,1,1,0,2,0,0,0,
